Initials of Person Entering Data,Date of Data Entry,SWS Partners Involved,Quarter and Fiscal Year of Measurement,Type,Name and description of evidence product or verbal presentation,"Link to Product or Recording
","Comments
(optional)","Changes log (If retrospective changes made to entries, please not what it was, why you changed it, and when.)"
SP,10/12/2020,Learning Team,FY20Q4,Grey Literature,Measuring Systems Change in WASH Programming: A Practical Application of Two Tools,Link,,
SP,10/12/2020,Learning Team,FY20Q4,Published Literature,Monitoring Methods for Systems-Strengthening Activities Toward Sustainable Water and Sanitation Services in Low-Income Settings,Link,,
SP,10/12/2020,Learning Team,FY20Q4,Grey Literature,Defining Collective Approaches in WASH,Link,,
SP,10/12/2020,Learning Team,FY20Q4,Published Literature,Adapting Collaborative Approaches for Service Provision to Low-Income Countries: Expert Panel Results,Link,,
PC,10/12/2020,Learning Team,FY20Q4,Verbal Presentation,Functionality and financial implications of professional maintenance services for rural water service delivery in Kenya”. At the 38th International Conference of the System Dynamics Society,Link Needed,,
BH,10/15/2020,Concept 1,FY20Q4,Verbal Presentation,IRC Global talks: July 21 2020 presentation and discussion on district WASH SDG master plan processes,#N/A,,
BH,10/15/2020,Concept 1,FY20Q4,Verbal Presentation,May 21 2020: presentation at WASH cluster meeting in Afar Region about strengthening the use of AMS in the region,#N/A,Facilitator's diary entry May 21 2020,
BH,10/15/2020,Concept 1,FY20Q4,Verbal Presentation,"May 6, 2020: Presentation and discussion with Afar region water bureau on Evidence based planning.",Link,,
EB,20/10/2020,Concept 3,FY20Q4,Verbal Presentation,"September 14: Presentation during the Uganda Water and Environment Week on the importance of a professionalized system for rural water O&M for poverty alleviation and inclusion of all population groups in Ugandan society, with specific reference to the Private Sector Role as Maintenance Companies regulated by local and national government",Link,,
EB,20/10/2020,Concept 3,FY20Q4,Verbal Presentation,"September 30: Presentation at the quarterly national O&M forum on cost taxonomy, complementary responsibilities of O&M actors in a coherent national system, and sustainable maintenance fee calculations",Link,,
